PodcastName,Epizoda,EpisodeUUID,Měsíc,RedCircle_Downloads,PodcastUUID
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 11: Židovský průvod,8b9f9b08-0b6c-49bd-9d41-6bbe607e1bf9,2025-11,10,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 1: Tři mrtvoly ve sklepě,a5e59038-113b-4d48-9f85-df2b6c4a90c8,2025-11,10,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 6: Zahrady za Koňskou branou,21d5add2-7431-462c-93e0-445c91e23672,2025-11,9,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Hanuš Hackenschmied – U ledové víly | Kapitola 1: O třech princeznách v Modré hoře,709bd8f6-bfbc-4ba8-bae0-ced600ea2610,2025-11,8,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 10: Dva starobylé domy malostranské,accf8bce-195c-4dc7-b124-fdf8c189202f,2025-11,8,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 3: O tandlmarku,b57af140-da5b-438c-9659-1c310485c1d7,2025-11,8,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 9: Paladium země České,c0f099d5-6c21-4f2f-adbf-3cf6756c52f4,2025-11,7,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 2.,f5e96d47-2ba1-44f3-8d86-c8512d43b060,2025-11,7,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 7: O Valdštejnském paláci,79301095-8b86-42a9-a7c2-bf3990326908,2025-11,6,122228e9-4fc6-4674-b257-cf90262939ea
Mariánská listování,Mariánská listování: Česká škola v Chicagu - 5. díl,d53a5106-02d1-4f85-a08f-024bc2595c2a,2025-11,6,0fe8348e-fbb1-43d1-afd5-a519d36aaac9
